date,hk_uvi
,Unit Value Index: Imports
,Hong Kong
,
01/01/1982,
02/01/1982,
03/01/1982,49.2
04/01/1982,#N/A
05/01/1982,#N/A
06/01/1982,48.13333333
07/01/1982,#N/A
08/01/1982,#N/A
09/01/1982,47.76666667
10/01/1982,#N/A
11/01/1982,#N/A
12/01/1982,49.4
01/01/1983,#N/A
02/01/1983,#N/A
03/01/1983,51
04/01/1983,#N/A
05/01/1983,#N/A
06/01/1983,52.5
07/01/1983,#N/A
08/01/1983,#N/A
09/01/1983,54.93333333
10/01/1983,#N/A
11/01/1983,#N/A
12/01/1983,58.4
01/01/1984,#N/A
02/01/1984,#N/A
03/01/1984,59.53333333
04/01/1984,#N/A
05/01/1984,#N/A
06/01/1984,61.06666667
07/01/1984,#N/A
08/01/1984,#N/A
09/01/1984,61.23333333
10/01/1984,#N/A
11/01/1984,#N/A
12/01/1984,60.06666667
01/01/1985,#N/A
02/01/1985,#N/A
03/01/1985,59.3
04/01/1985,#N/A
05/01/1985,#N/A
06/01/1985,58.8
07/01/1985,#N/A
08/01/1985,#N/A
09/01/1985,58.6
10/01/1985,#N/A
11/01/1985,#N/A
12/01/1985,59.06666667
01/01/1986,#N/A
02/01/1986,#N/A
03/01/1986,60.73333333
04/01/1986,#N/A
05/01/1986,#N/A
06/01/1986,61.7
07/01/1986,#N/A
08/01/1986,#N/A
09/01/1986,62.53333333
10/01/1986,#N/A
11/01/1986,#N/A
12/01/1986,62.33333333
01/01/1987,#N/A
02/01/1987,#N/A
03/01/1987,62.8
04/01/1987,#N/A
05/01/1987,#N/A
06/01/1987,64.16666667
07/01/1987,#N/A
08/01/1987,#N/A
09/01/1987,64.7
10/01/1987,#N/A
11/01/1987,#N/A
12/01/1987,65.5
01/01/1988,#N/A
02/01/1988,#N/A
03/01/1988,65.9
04/01/1988,#N/A
05/01/1988,#N/A
06/01/1988,66.86666667
07/01/1988,#N/A
08/01/1988,#N/A
09/01/1988,67.23333333
10/01/1988,#N/A
11/01/1988,#N/A
12/01/1988,67.96666667
01/01/1989,#N/A
02/01/1989,#N/A
03/01/1989,68.76666667
04/01/1989,#N/A
05/01/1989,#N/A
06/01/1989,69.3
07/01/1989,#N/A
08/01/1989,#N/A
09/01/1989,69.73333333
10/01/1989,#N/A
11/01/1989,#N/A
12/01/1989,70.06666667
01/01/1990,#N/A
02/01/1990,#N/A
03/01/1990,70.43333333
04/01/1990,#N/A
05/01/1990,#N/A
06/01/1990,70.4
07/01/1990,#N/A
08/01/1990,#N/A
09/01/1990,71.13333333
10/01/1990,#N/A
11/01/1990,#N/A
12/01/1990,72.5
01/01/1991,#N/A
02/01/1991,#N/A
03/01/1991,72.96666667
04/01/1991,#N/A
05/01/1991,#N/A
06/01/1991,72.03333333
07/01/1991,#N/A
08/01/1991,#N/A
09/01/1991,72.36666667
10/01/1991,#N/A
11/01/1991,#N/A
12/01/1991,72.86666667
01/01/1992,#N/A
02/01/1992,#N/A
03/01/1992,72.76666667
04/01/1992,#N/A
05/01/1992,#N/A
06/01/1992,72.4
07/01/1992,#N/A
08/01/1992,#N/A
09/01/1992,73.06666667
10/01/1992,#N/A
11/01/1992,#N/A
12/01/1992,72.46666667
01/01/1993,#N/A
02/01/1993,#N/A
03/01/1993,71.7
04/01/1993,#N/A
05/01/1993,#N/A
06/01/1993,72.26666667
07/01/1993,#N/A
08/01/1993,#N/A
09/01/1993,72.8
10/01/1993,#N/A
11/01/1993,#N/A
12/01/1993,72.3
01/01/1994,#N/A
02/01/1994,#N/A
03/01/1994,72.8
04/01/1994,#N/A
05/01/1994,#N/A
06/01/1994,73.33333333
07/01/1994,#N/A
08/01/1994,#N/A
09/01/1994,74.8
10/01/1994,#N/A
11/01/1994,#N/A
12/01/1994,75.76666667
01/01/1995,#N/A
02/01/1995,#N/A
03/01/1995,76.6
04/01/1995,#N/A
05/01/1995,#N/A
06/01/1995,78.26666667
07/01/1995,#N/A
08/01/1995,#N/A
09/01/1995,78.86666667
10/01/1995,#N/A
11/01/1995,#N/A
12/01/1995,77.96666667
01/01/1996,#N/A
02/01/1996,#N/A
03/01/1996,77.73333333
04/01/1996,#N/A
05/01/1996,#N/A
06/01/1996,77
07/01/1996,#N/A
08/01/1996,#N/A
09/01/1996,76.63333333
10/01/1996,#N/A
11/01/1996,#N/A
12/01/1996,76.5
01/01/1997,#N/A
02/01/1997,#N/A
03/01/1997,75.73333333
04/01/1997,#N/A
05/01/1997,#N/A
06/01/1997,75.3
07/01/1997,#N/A
08/01/1997,#N/A
09/01/1997,75.23333333
10/01/1997,#N/A
11/01/1997,#N/A
12/01/1997,74.43333333
01/01/1998,#N/A
02/01/1998,#N/A
03/01/1998,72.8
04/01/1998,#N/A
05/01/1998,#N/A
06/01/1998,71.76666667
07/01/1998,#N/A
08/01/1998,#N/A
09/01/1998,70.86666667
10/01/1998,#N/A
11/01/1998,#N/A
12/01/1998,70.53333333
01/01/1999,#N/A
02/01/1999,#N/A
03/01/1999,70.13333333
04/01/1999,#N/A
05/01/1999,#N/A
06/01/1999,69.36666667
07/01/1999,#N/A
08/01/1999,#N/A
09/01/1999,69.9
10/01/1999,#N/A
11/01/1999,#N/A
12/01/1999,70.76666667
01/01/2000,#N/A
02/01/2000,#N/A
03/01/2000,70.5
04/01/2000,#N/A
05/01/2000,#N/A
06/01/2000,70.53333333
07/01/2000,#N/A
08/01/2000,#N/A
09/01/2000,70.76666667
10/01/2000,#N/A
11/01/2000,#N/A
12/01/2000,70.6
01/01/2001,#N/A
02/01/2001,#N/A
03/01/2001,69.4
04/01/2001,#N/A
