date,hk_rgdp_gr,hk_rgdp,hk_u_rate,hk_tbr,hk_cpi,hk_tex,hk_tim,china_inf_rate,us_rgdp,china_rgdp_gr,hk_fdi,hk_proppi,hk_gfcf,hk_exr
03/01/1947,NA,NA,NA,NA,NA,NA,NA,NA,2034450,NA,NA,NA,NA,NA
06/01/1947,NA,NA,NA,NA,NA,NA,NA,NA,2029024,NA,NA,NA,NA,NA
09/01/1947,NA,NA,NA,NA,NA,NA,NA,NA,2024834,NA,NA,NA,NA,NA
12/01/1947,NA,NA,NA,NA,NA,NA,NA,NA,2056508,NA,NA,NA,NA,NA
03/01/1948,NA,NA,NA,NA,NA,NA,NA,NA,2087442,NA,NA,NA,NA,NA
06/01/1948,NA,NA,NA,NA,NA,NA,NA,NA,2121899,NA,NA,NA,NA,NA
09/01/1948,NA,NA,NA,NA,NA,NA,NA,NA,2134056,NA,NA,NA,NA,NA
12/01/1948,NA,NA,NA,NA,NA,NA,NA,NA,2136440,NA,NA,NA,NA,NA
03/01/1949,NA,NA,NA,NA,NA,NA,NA,NA,2107001,NA,NA,NA,NA,NA
06/01/1949,NA,NA,NA,NA,NA,NA,NA,NA,2099814,NA,NA,NA,NA,NA
09/01/1949,NA,NA,NA,NA,NA,NA,NA,NA,2121493,NA,NA,NA,NA,NA
12/01/1949,NA,NA,NA,NA,NA,NA,NA,NA,2103688,NA,NA,NA,NA,NA
03/01/1950,NA,NA,NA,NA,NA,NA,NA,NA,2186365,NA,NA,NA,NA,NA
06/01/1950,NA,NA,NA,NA,NA,NA,NA,NA,2253045,NA,NA,NA,NA,NA
09/01/1950,NA,NA,NA,NA,NA,NA,NA,NA,2340112,NA,NA,NA,NA,NA
12/01/1950,NA,NA,NA,NA,NA,NA,NA,NA,2384920,NA,NA,NA,NA,NA
03/01/1951,NA,NA,NA,NA,NA,NA,NA,NA,2417311,NA,NA,NA,NA,NA
06/01/1951,NA,NA,NA,NA,NA,NA,NA,NA,2459196,NA,NA,NA,NA,NA
09/01/1951,NA,NA,NA,NA,NA,NA,NA,NA,2509880,NA,NA,NA,NA,NA
12/01/1951,NA,NA,NA,NA,NA,NA,NA,NA,2515408,NA,NA,NA,NA,NA
03/01/1952,NA,NA,NA,NA,NA,NA,NA,NA,2542286,NA,NA,NA,NA,NA
06/01/1952,NA,NA,NA,NA,NA,NA,NA,NA,2547762,NA,NA,NA,NA,NA
09/01/1952,NA,NA,NA,NA,NA,NA,NA,NA,2566153,NA,NA,NA,NA,NA
12/01/1952,NA,NA,NA,NA,NA,NA,NA,NA,2650431,NA,NA,NA,NA,NA
03/01/1953,NA,NA,NA,NA,NA,NA,NA,NA,2699699,NA,NA,NA,NA,NA
06/01/1953,NA,NA,NA,NA,NA,NA,NA,NA,2720566,NA,NA,NA,NA,NA
09/01/1953,NA,NA,NA,NA,NA,NA,NA,NA,2705258,NA,NA,NA,NA,NA
12/01/1953,NA,NA,NA,NA,NA,NA,NA,NA,2664302,NA,NA,NA,NA,NA
03/01/1954,NA,NA,NA,NA,NA,NA,NA,NA,2651566,NA,NA,NA,NA,NA
06/01/1954,NA,NA,NA,NA,NA,NA,NA,NA,2654456,NA,NA,NA,NA,NA
09/01/1954,NA,NA,NA,NA,NA,NA,NA,NA,2684434,NA,NA,NA,NA,NA
12/01/1954,NA,NA,NA,NA,NA,NA,NA,NA,2736960,NA,NA,NA,NA,NA
03/01/1955,NA,NA,NA,NA,NA,NA,NA,NA,2815134,NA,NA,NA,NA,NA
06/01/1955,NA,NA,NA,NA,NA,NA,NA,NA,2860942,NA,NA,NA,NA,NA
09/01/1955,NA,NA,NA,NA,NA,NA,NA,NA,2899578,NA,NA,NA,NA,NA
12/01/1955,NA,NA,NA,NA,NA,NA,NA,NA,2916985,NA,NA,NA,NA,NA
03/01/1956,NA,NA,NA,NA,NA,NA,NA,NA,2905656,NA,NA,NA,NA,NA
06/01/1956,NA,NA,NA,NA,NA,NA,NA,NA,2929666,NA,NA,NA,NA,NA
09/01/1956,NA,NA,NA,NA,NA,NA,NA,NA,2927034,NA,NA,NA,NA,NA
12/01/1956,NA,NA,NA,NA,NA,NA,NA,NA,2975209,NA,NA,NA,NA,NA
03/01/1957,NA,NA,NA,NA,NA,NA,NA,NA,2994259,NA,NA,NA,NA,5.74216674
06/01/1957,NA,NA,NA,NA,NA,NA,NA,NA,2987699,NA,NA,NA,NA,5.73455495
09/01/1957,NA,NA,NA,NA,NA,NA,NA,NA,3016979,NA,NA,NA,NA,5.72552932
12/01/1957,NA,NA,NA,NA,NA,NA,NA,NA,2985775,NA,NA,NA,NA,5.59777918
03/01/1958,NA,NA,NA,NA,NA,NA,NA,NA,2908281,NA,NA,NA,NA,5.6836481
06/01/1958,NA,NA,NA,NA,NA,NA,NA,NA,2927395,NA,NA,NA,NA,5.71000634
09/01/1958,NA,NA,NA,NA,NA,NA,NA,NA,2995112,NA,NA,NA,NA,5.70268269
12/01/1958,NA,NA,NA,NA,NA,NA,NA,NA,3065141,NA,NA,NA,NA,5.71143257
03/01/1959,NA,NA,NA,NA,NA,NA,NA,NA,3123978,NA,NA,NA,NA,5.6836481
06/01/1959,NA,NA,NA,NA,NA,NA,NA,NA,3194429,NA,NA,NA,NA,5.68849591
09/01/1959,NA,NA,NA,NA,NA,NA,NA,NA,3196683,NA,NA,NA,NA,5.70756304
12/01/1959,NA,NA,NA,NA,NA,NA,NA,NA,3205790,NA,NA,NA,NA,5.71653206
03/01/1960,NA,NA,NA,NA,NA,NA,NA,NA,3277847,NA,NA,NA,NA,5.70126083
06/01/1960,NA,NA,NA,NA,NA,NA,NA,NA,3260177,NA,NA,NA,NA,5.70247953
09/01/1960,NA,NA,NA,NA,NA,NA,NA,NA,3276133,NA,NA,NA,NA,5.69497253
12/01/1960,NA,NA,NA,NA,NA,NA,NA,NA,3234087,NA,NA,NA,NA,5.70878443
03/01/1961,NA,NA,NA,NA,NA,NA,NA,NA,3255914,NA,NA,NA,NA,5.72164067
06/01/1961,NA,NA,NA,NA,NA,NA,NA,NA,3311181,NA,NA,NA,NA,5.74093102
09/01/1961,NA,NA,NA,NA,NA,NA,NA,NA,3374742,NA,NA,NA,NA,5.68728318
12/01/1961,NA,NA,NA,NA,NA,NA,NA,NA,3440924,NA,NA,NA,NA,5.70004266
03/01/1962,NA,NA,NA,NA,NA,NA,NA,NA,3502298,NA,NA,NA,NA,5.68849591
06/01/1962,NA,NA,NA,NA,NA,NA,NA,NA,3533947,NA,NA,NA,NA,5.69862211
09/01/1962,NA,NA,NA,NA,NA,NA,NA,NA,3577362,NA,NA,NA,NA,5.71408317
12/01/1962,NA,NA,NA,NA,NA,NA,NA,NA,3589128,NA,NA,NA,NA,5.71143257
03/01/1963,NA,NA,NA,NA,NA,NA,NA,NA,3628306,NA,NA,NA,NA,5.71755306
