date,hk_fdi,hk_proppi,hk_gfcf
03/01/1973,#N/A,#N/A,404.3314501
06/01/1973,#N/A,#N/A,453.6566289
09/01/1973,#N/A,#N/A,444.6994034
12/01/1973,#N/A,#N/A,477.7785072
03/01/1974,#N/A,#N/A,505.94339
06/01/1974,#N/A,#N/A,533.9351608
09/01/1974,#N/A,#N/A,557.946693
12/01/1974,#N/A,#N/A,538.0556119
03/01/1975,#N/A,#N/A,553.7323944
06/01/1975,#N/A,#N/A,515.8407799
09/01/1975,#N/A,#N/A,531.0331152
12/01/1975,#N/A,#N/A,557.3044111
03/01/1976,#N/A,#N/A,589.5861148
06/01/1976,#N/A,#N/A,645.9943066
09/01/1976,#N/A,#N/A,676.7560231
12/01/1976,#N/A,#N/A,751.8765638
03/01/1977,#N/A,#N/A,908.4264832
06/01/1977,#N/A,#N/A,924.6414044
09/01/1977,#N/A,#N/A,921.5405541
12/01/1977,#N/A,#N/A,1049.121805
03/01/1978,#N/A,#N/A,1127.330539
06/01/1978,#N/A,#N/A,1140.857204
09/01/1978,#N/A,#N/A,1195.448745
12/01/1978,#N/A,#N/A,1352.313167
03/01/1979,#N/A,#N/A,1542.156998
06/01/1979,#N/A,#N/A,1496.761955
09/01/1979,#N/A,#N/A,1689.749609
12/01/1979,#N/A,16.5,1970.861458
03/01/1980,#N/A,18.4,2190.59858
06/01/1980,#N/A,18.4,2232.346395
09/01/1980,#N/A,20.3,2414.930204
12/01/1980,#N/A,22.4,2464.313777
03/01/1981,#N/A,24.3,2511.57752
06/01/1981,#N/A,24.4,2605.594534
09/01/1981,#N/A,24.6,2432.872991
12/01/1981,#N/A,24.1,2598.985418
03/01/1982,#N/A,22.5,2597.507909
06/01/1982,#N/A,21.7,2380.908716
09/01/1982,#N/A,20.6,2541.962449
12/01/1982,#N/A,19.5,2269.160708
03/01/1983,#N/A,18.5,1936.486596
06/01/1983,#N/A,18.6,1800.79579
09/01/1983,#N/A,17.9,1828.069663
12/01/1983,#N/A,17,1826.842784
03/01/1984,#N/A,17.5,1782.20998
06/01/1984,#N/A,17.6,1861.471307
09/01/1984,#N/A,16.7,1856.818703
12/01/1984,#N/A,16.9,1938.9259
03/01/1985,#N/A,17.6,1843.031401
06/01/1985,#N/A,18.5,1883.04259
09/01/1985,#N/A,19.6,1768.311226
12/01/1985,#N/A,20.3,1991.547514
03/01/1986,#N/A,20.4,1979.304074
06/01/1986,#N/A,20.6,2049.114865
09/01/1986,#N/A,21.6,2174.356828
12/01/1986,#N/A,22.7,2629.925097
03/01/1987,#N/A,24.6,2645.302931
06/01/1987,#N/A,26.2,2754.09668
09/01/1987,#N/A,27.1,3132.62117
12/01/1987,#N/A,27.3,3414.238721
03/01/1988,#N/A,28.3,3352.645396
06/01/1988,#N/A,30.8,3611.823493
09/01/1988,#N/A,33,3911.673944
12/01/1988,#N/A,35.3,4239.617568
03/01/1989,#N/A,39.4,4334.408717
06/01/1989,#N/A,40.8,4524.751458
09/01/1989,#N/A,39.2,4482.783651
12/01/1989,#N/A,41.4,4457.564985
03/01/1990,#N/A,42.8,4602.002151
06/01/1990,#N/A,43.7,4881.428168
09/01/1990,#N/A,45.3,5120.999923
12/01/1990,#N/A,47.3,5562.734535
03/01/1991,#N/A,49.6,5208.593523
06/01/1991,#N/A,56,5720.359708
09/01/1991,#N/A,65.5,6040.982902
12/01/1991,#N/A,73.2,6454.990102
03/01/1992,#N/A,79.6,6205.229157
06/01/1992,#N/A,86.8,7063.247304
09/01/1992,#N/A,88.7,7475.264812
12/01/1992,#N/A,85.7,7582.542596
03/01/1993,#N/A,85.1,7450.127778
06/01/1993,#N/A,91,8246.967123
09/01/1993,#N/A,97.9,8451.442215
12/01/1993,#N/A,98,8349.955138
03/01/1994,#N/A,112.9,9293.101366
06/01/1994,#N/A,116.8,10112.96584
09/01/1994,#N/A,115.9,9831.673943
12/01/1994,#N/A,114,10624.24287
03/01/1995,#N/A,111.9,10074.58924
06/01/1995,#N/A,110.3,11376.55521
09/01/1995,#N/A,104.3,11157.56195
12/01/1995,#N/A,102.6,11092.5
03/01/1996,#N/A,108.8,11264.4357
06/01/1996,#N/A,113.5,12236.93734
09/01/1996,#N/A,116.7,12076.30186
12/01/1996,#N/A,128.5,13949.48276
03/01/1997,#N/A,153.1,13694.47039
06/01/1997,#N/A,167.1,14784.96637
09/01/1997,#N/A,169.5,14831.87707
12/01/1997,#N/A,162.8,15747.018
03/01/1998,#N/A,139.7,13540.97161
06/01/1998,#N/A,124.8,14168.75307
09/01/1998,#N/A,103.7,11680.09567
12/01/1998,#N/A,100.2,11605.81963
03/01/1999,5815.356023,102.5,10696.78108
06/01/1999,6741.974451,102.4,10625.83566
09/01/1999,6777.326478,99.7,10709.29903
12/01/1999,6014.746378,95.3,10733.97329
03/01/2000,9842.025234,96.8,10919.40631
06/01/2000,23034.13044,90.1,10928.79972
09/01/2000,6582.46028,87.3,11934.39596
12/01/2000,31026.46191,84.2,11711.28275
03/01/2001,12793.03919,81,11098.39484
06/01/2001,8535.144818,81.2,10503.95531
09/01/2001,8855.777733,78.6,11584.19269
12/01/2001,1103.280566,73.8,10512.00082
03/01/2002,2879.708696,73.8,8966.715388
06/01/2002,7304.54627,72.2,9394.471653
09/01/2002,3993.606809,68.6,9932.350138
12/01/2002,-7430.858592,65.1,9538.629865
03/01/2003,6164.24481,62.7,8510.214548
06/01/2003,3069.174056,59.8,8200.106849
09/01/2003,11717.36481,59.3,9001.347104
12/01/2003,-2385.339629,64.4,9235.311054
03/01/2004,-4830.269865,73.6,9089.701338
06/01/2004,6776.262068,77.2,9285.057776
09/01/2004,11574.37007,77.8,9273.265753
12/01/2004,8672.216418,83.4,9245.599904
03/01/2005,11562.39313,89.9,9317.67663
06/01/2005,7807.2184,94.5,9856.924585
09/01/2005,10356.70462,93.6,9748.925252
