date,hk_stir,hk_blr
,Short Term Interest Rate: Month End: Hong Kong SAR (China): Interest Settlement Rate: 3 Months,HSBC: Best Lending Rate
,Hong Kong SAR (China),Hong Kong SAR (China)
,,
,Monthly,"Daily, ""Everyday"""
,% pa,% pa
,CEIC Data,The Hongkong and Shanghai Banking Corporation Limited
,Active,Active
,455656937,16759401 (HDLAA)
,SR197137617,SR682739
,,
,,
,,
,07/01/1996,01/01/1981
,05/01/2023,06/06/2023
,31/05/2023,06/06/2023
,,
,,
,2.438647988,7.387010389
,6.602289343,8.648052252
,2.56949204,2.940757088
,1.49946302,1.557915243
,2.847889871,2.53940021
,1.053654342,0.39809841
,0.10107,5
,15.65179,20
,1.49777,6.5
,323,15497
03/01/1981,#N/A,17
06/01/1981,#N/A,17
09/01/1981,#N/A,18
12/01/1981,#N/A,17
12/02/1981,#N/A,17
12/03/1981,#N/A,17
12/04/1981,#N/A,17
12/05/1981,#N/A,17
12/06/1981,#N/A,17
12/07/1981,#N/A,16
12/08/1981,#N/A,16
12/09/1981,#N/A,16
12/10/1981,#N/A,16
12/11/1981,#N/A,16
12/12/1981,#N/A,16
12/13/1981,#N/A,16
12/14/1981,#N/A,16
12/15/1981,#N/A,16
12/16/1981,#N/A,16
12/17/1981,#N/A,16
12/18/1981,#N/A,16
12/19/1981,#N/A,16
12/20/1981,#N/A,16
12/21/1981,#N/A,16
12/22/1981,#N/A,16
12/23/1981,#N/A,16
12/24/1981,#N/A,16
12/25/1981,#N/A,16
12/26/1981,#N/A,16
12/27/1981,#N/A,16
12/28/1981,#N/A,16
12/29/1981,#N/A,16
12/30/1981,#N/A,16
12/31/1981,#N/A,16
01/01/1982,#N/A,16
01/02/1982,#N/A,16
01/03/1982,#N/A,16
01/04/1982,#N/A,16
01/05/1982,#N/A,16
01/06/1982,#N/A,16
01/07/1982,#N/A,16
01/08/1982,#N/A,16
01/09/1982,#N/A,16
01/10/1982,#N/A,16
01/11/1982,#N/A,16
01/12/1982,#N/A,16
01/13/1982,#N/A,16
01/14/1982,#N/A,16
01/15/1982,#N/A,16
01/16/1982,#N/A,16
01/17/1982,#N/A,16
01/18/1982,#N/A,16
01/19/1982,#N/A,16
01/20/1982,#N/A,16
01/21/1982,#N/A,16
01/22/1982,#N/A,16
01/23/1982,#N/A,16
01/24/1982,#N/A,16
01/25/1982,#N/A,16
01/26/1982,#N/A,16
01/27/1982,#N/A,16
01/28/1982,#N/A,16
01/29/1982,#N/A,16
01/30/1982,#N/A,16
01/31/1982,#N/A,16
02/01/1982,#N/A,16
02/02/1982,#N/A,16
02/03/1982,#N/A,16
02/04/1982,#N/A,16
02/05/1982,#N/A,16
02/06/1982,#N/A,16
02/07/1982,#N/A,16
02/08/1982,#N/A,16
02/09/1982,#N/A,16
02/10/1982,#N/A,16
02/11/1982,#N/A,16
02/12/1982,#N/A,16
02/13/1982,#N/A,16
02/14/1982,#N/A,16
02/15/1982,#N/A,16
02/16/1982,#N/A,16
02/17/1982,#N/A,16
02/18/1982,#N/A,16
02/19/1982,#N/A,16
02/20/1982,#N/A,16
02/21/1982,#N/A,16
02/22/1982,#N/A,16
02/23/1982,#N/A,16
02/24/1982,#N/A,16
02/25/1982,#N/A,16
02/26/1982,#N/A,16
02/27/1982,#N/A,16
02/28/1982,#N/A,16
03/01/1982,#N/A,16
03/02/1982,#N/A,16
03/03/1982,#N/A,16
03/04/1982,#N/A,16
03/05/1982,#N/A,16
03/06/1982,#N/A,16
03/07/1982,#N/A,16
03/08/1982,#N/A,16
03/09/1982,#N/A,16
03/10/1982,#N/A,16
03/11/1982,#N/A,16
03/12/1982,#N/A,16
03/13/1982,#N/A,16
03/14/1982,#N/A,16
03/15/1982,#N/A,16
03/16/1982,#N/A,16
03/17/1982,#N/A,16
03/18/1982,#N/A,16
03/19/1982,#N/A,16
03/20/1982,#N/A,16
03/21/1982,#N/A,16
03/22/1982,#N/A,16
03/23/1982,#N/A,16
03/24/1982,#N/A,16
03/25/1982,#N/A,16
03/26/1982,#N/A,16
03/27/1982,#N/A,16
03/28/1982,#N/A,16
03/29/1982,#N/A,16
03/30/1982,#N/A,16
03/31/1982,#N/A,16
04/01/1982,#N/A,16
04/02/1982,#N/A,16
04/03/1982,#N/A,16
04/04/1982,#N/A,16
04/05/1982,#N/A,16
04/06/1982,#N/A,16
04/07/1982,#N/A,16
04/08/1982,#N/A,16
04/09/1982,#N/A,16
04/10/1982,#N/A,16
04/11/1982,#N/A,16
04/12/1982,#N/A,16
04/13/1982,#N/A,16
04/14/1982,#N/A,16
04/15/1982,#N/A,16
04/16/1982,#N/A,16
04/17/1982,#N/A,16
04/18/1982,#N/A,16
04/19/1982,#N/A,16
04/20/1982,#N/A,16
04/21/1982,#N/A,16
04/22/1982,#N/A,16
04/23/1982,#N/A,16
04/24/1982,#N/A,16
04/25/1982,#N/A,16
04/26/1982,#N/A,16
04/27/1982,#N/A,16
04/28/1982,#N/A,16
04/29/1982,#N/A,16
04/30/1982,#N/A,16
05/01/1982,#N/A,16
05/02/1982,#N/A,16
05/03/1982,#N/A,16
05/04/1982,#N/A,16
05/05/1982,#N/A,16
05/06/1982,#N/A,16
05/07/1982,#N/A,16
05/08/1982,#N/A,16
05/09/1982,#N/A,16
05/10/1982,#N/A,16
05/11/1982,#N/A,16
05/12/1982,#N/A,16
05/13/1982,#N/A,16
05/14/1982,#N/A,16
05/15/1982,#N/A,16
05/16/1982,#N/A,16
05/17/1982,#N/A,16
05/18/1982,#N/A,16
05/19/1982,#N/A,16
05/20/1982,#N/A,16
05/21/1982,#N/A,16
05/22/1982,#N/A,16
05/23/1982,#N/A,16
05/24/1982,#N/A,16
05/25/1982,#N/A,16
05/26/1982,#N/A,16
05/27/1982,#N/A,16
05/28/1982,#N/A,16
05/29/1982,#N/A,16
05/30/1982,#N/A,16
05/31/1982,#N/A,15
06/01/1982,#N/A,15
06/02/1982,#N/A,15
06/03/1982,#N/A,15
06/04/1982,#N/A,15
06/05/1982,#N/A,15
06/06/1982,#N/A,15
06/07/1982,#N/A,15
06/08/1982,#N/A,15
06/09/1982,#N/A,15
06/10/1982,#N/A,15
06/11/1982,#N/A,15
06/12/1982,#N/A,15
