date,jp_gdp,gm_gdp,fr_gdp,uk_gdp,us_gdp
03/01/1960,625073.0405,NA,564188.1613,811756.1465,3431554.961
06/01/1960,626271.407,NA,578319.7544,805376.6073,3413056.362
09/01/1960,647806.0036,NA,588071.8917,817465.5659,3429760.586
12/01/1960,672714.4481,NA,594309.1426,823185.7073,3385742.925
03/01/1961,693165.09,NA,602558.5759,836255.7211,3408593.457
06/01/1961,707887.4587,NA,606397.6759,839375.7982,3466452.091
09/01/1961,721367.0698,NA,612130.5946,835333.6364,3532993.654
12/01/1961,754292.0925,NA,622875.9575,833285.7508,3602279.125
03/01/1962,764194.6002,NA,635736.4278,837392.244,3666531.133
06/01/1962,774775.2694,NA,645375.3477,845305.0169,3699664.249
09/01/1962,784257.7983,NA,657854.9957,850097.7127,3745115.107
12/01/1962,800782.1258,NA,664905.3535,846462.9837,3757432.849
03/01/1963,811992.1,NA,661210.3485,850333.5948,3798448.022
06/01/1963,836019.1571,NA,688531.7717,887876.3784,3841071.222
09/01/1963,860519.5265,NA,710624.6083,892100.8127,3925514.655
12/01/1963,890001.5164,NA,710892.2132,911652.2238,3951250.425
03/01/1964,918062.8355,NA,726068.4944,917844.1294,4034552.745
06/01/1964,939979.2564,NA,734415.7064,934913.4173,4078478.28
09/01/1964,954365.353,NA,741193.3131,938365.8738,4142196.373
12/01/1964,966272.9589,NA,751681.3637,952550.9667,4154990.452
03/01/1965,974207.3667,NA,756132.867,949709.6593,4255530.912
06/01/1965,986341.1699,NA,768962.4598,950320.8085,4309290.959
09/01/1965,1008543.022,NA,780088.645,958104.9184,4405097.369
12/01/1965,1023954.273,NA,791755.186,964457.6527,4506592.595
03/01/1966,1050968.892,NA,799114.3187,965894.3893,4616293.368
06/01/1966,1091881.601,NA,811244.0219,971158.8493,4632062.717
09/01/1966,1118429.486,NA,821397.5664,974504.0866,4671291.89
12/01/1966,1140989.698,NA,827305.4575,970033.0483,4709615.5
03/01/1967,1171648.736,NA,840680.5525,982813.5703,4751321.622
06/01/1967,1203494.272,NA,850098.1837,996966.4975,4754234.079
09/01/1967,1245443.182,NA,860503.8944,1001646.613,4799214.882
12/01/1967,1269627.823,NA,869154.7349,1006970.044,4835401.784
03/01/1968,1299905.499,NA,890825.5794,1043194.032,4934020.148
06/01/1968,1344317.017,NA,846017.2102,1038974.958,5016457.734
09/01/1968,1374901.967,NA,911436.297,1059341.235,5055333.058
12/01/1968,1453465.446,NA,923200.6167,1063812.273,5075216.696
03/01/1969,1466605.572,NA,932355.7894,1060938.8,5154649.699
06/01/1969,1509405.76,NA,951777.7241,1069355.503,5170319.593
09/01/1969,1545414.134,NA,964735.9731,1075365.136,5204470.289
12/01/1969,1605307.662,NA,979294.7047,1079862.979,5179088.369
03/01/1970,1653796.292,NA,994455.5472,1072668.575,5171398.94
06/01/1970,1673293.555,NA,1010851.489,1099001.597,5178738.706
09/01/1970,1717712.311,NA,1021195.445,1109653.819,5226463.416
12/01/1970,1711906.575,NA,1034688.903,1119737.779,5170454.642
03/01/1971,1727348.504,NA,1051203.208,1113363.601,5310883.818
06/01/1971,1755282.372,NA,1062262.492,1133654.824,5339622.076
09/01/1971,1776963.228,NA,1076800.639,1153892.438,5383565.409
